iteration;avg_executed;avg_worst;avg_average;avg_best
0;63.28722434746835;63.28722434746835;63.28722434746835;63.28722434746835
1;63.34043500627186;63.29500339778825;63.317719202030055;63.34043500627186
2;63.38013810413368;63.31381554969166;63.349039476529015;63.3807010471388
3;63.43295110440734;63.33657759039066;63.3880024060851;63.433514075495786
4;63.470455996251864;63.356760809276565;63.418237576340246;63.470635123803056
5;63.49339054542221;63.37050024014301;63.43901036611513;63.497007988884306
6;63.5202402578366;63.38383779447999;63.45765793438548;63.5202402578366
7;63.53352281487723;63.39248997266044;63.47001826608934;63.533599579515695
8;63.55243686656815;63.39423187803628;63.481836195920074;63.55284628339202
9;63.574046416580074;63.412482056450315;63.50415098417192;63.57650286725298
10;63.57694651774814;63.41365963368172;63.5081575259187;63.57958213253426
