iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;13:39:21;13:39:21;13:39:21;;;13:39:21;13:39:21;13:39:22;13:39:22;13:39:22;13:39:22;13:39:22;13:39:24;13:39:24;13:39:24;13:39:24;13:39:24;13:39:24;13:39:24;13:39:24;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:03
1;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:25;13:39:26;13:39:26;13:39:26;13:39:26;13:39:26;13:39:26;13:39:27;13:39:27;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
2;13:39:27;13:39:27;13:39:27;13:39:27;13:39:27;13:39:27;;;13:39:27;13:39:27;13:39:27;13:39:27;13:39:29;13:39:29;13:39:29;13:39:29;13:39:29;13:39:29;13:39:30;13:39:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
3;13:39:30;13:39:30;13:39:30;13:39:30;13:39:30;13:39:30;;;13:39:30;13:39:30;13:39:30;13:39:30;13:39:31;13:39:31;13:39:31;13:39:31;13:39:31;13:39:31;13:39:32;13:39:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
4;13:39:32;13:39:32;13:39:32;13:39:32;13:39:32;13:39:32;;;13:39:32;13:39:32;13:39:32;13:39:32;13:39:34;13:39:34;13:39:34;13:39:34;13:39:34;13:39:34;13:39:34;13:39:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
5;13:39:35;13:39:35;13:39:35;13:39:35;13:39:35;13:39:35;;;13:39:35;13:39:35;13:39:35;13:39:35;13:39:36;13:39:36;13:39:36;13:39:36;13:39:36;13:39:36;13:39:37;13:39:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
6;13:39:37;13:39:37;13:39:37;13:39:37;13:39:37;13:39:37;;;13:39:37;13:39:37;13:39:37;13:39:37;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
7;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;13:39:39;;;13:39:39;13:39:39;13:39:39;13:39:39;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
8;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;13:39:41;;;13:39:41;13:39:41;13:39:41;13:39:41;13:39:43;13:39:43;13:39:43;13:39:43;13:39:43;13:39:43;13:39:43;13:39:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
9;13:39:44;13:39:44;13:39:44;13:39:44;13:39:44;13:39:44;;;13:39:44;13:39:44;13:39:44;13:39:44;13:39:45;13:39:45;13:39:45;13:39:45;13:39:45;13:39:45;13:39:46;13:39:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
10;13:39:46;13:39:46;13:39:46;13:39:46;13:39:46;13:39:46;;;13:39:46;13:39:46;13:39:46;13:39:46;13:39:47;13:39:47;13:39:47;13:39:47;13:39:47;13:39:47;13:39:48;13:39:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
